video_id,title,published_date,duration,description,like_count,view_count,comment_count,comment,comment_likes,total_reply_count,comment_len,clean_comment,is_english,engagement,category,usyk_sentiment,fury_sentiment
XR9B-OLxAy8,Fury vs Usyk - The ULTIMATE Breakdown,2023-10-08T08:10:33Z,PT11M27S,"#tysonfury  #furyusyk 

Here's the link to get your DOUBLE TERRIFIC Nord VPN offer: https://nordvpn.com/propa

Tyson Fury vs Oleksander Usyk is FINALLY on. This is the ultimate breakdown of the mega fight that will crown either Fury or Usyk undisputed. Usk beat Anthony Joshua, Fury beat Deontay Wilder, and now we get to see through the help of Frank Warren who is the best. Will Tyson Fury knock him out? will Usyk cruise to a points victory? Fury Usyk is the fight of fights.

https://www.instagram.com/this_is_propa

All materials in these videos are used for entertainment purposes and fall within the guidelines of fair use. No copyright infringement is intended. If you are or represent the copyright owner of materials used in this video and have a problem with the use of said material, please feel free to contact me via my email in the ""about"" page on my channel. I will happily fulfill your needs if there are any issues :)

Disclaimer: Only having a laugh here, don't take anything seriously, lifes too short  

Like and Subscribe for a giggle",3519,109394,954,"This is gonna be a BANGER. The size difference concerns me a little, but I think what Usyk lacks in height he makes up with fierce spirit. Curious about what form Fury will be in.",1,0,179.0,this is gon na be a banger the size difference concern me a little but i think what usyk lack in height he make up with fierce spirit curious about what form fury will be in,True,2,fury_usyk,positive,neutral
XR9B-OLxAy8,Fury vs Usyk - The ULTIMATE Breakdown,2023-10-08T08:10:33Z,PT11M27S,"#tysonfury  #furyusyk 

Here's the link to get your DOUBLE TERRIFIC Nord VPN offer: https://nordvpn.com/propa

Tyson Fury vs Oleksander Usyk is FINALLY on. This is the ultimate breakdown of the mega fight that will crown either Fury or Usyk undisputed. Usk beat Anthony Joshua, Fury beat Deontay Wilder, and now we get to see through the help of Frank Warren who is the best. Will Tyson Fury knock him out? will Usyk cruise to a points victory? Fury Usyk is the fight of fights.

https://www.instagram.com/this_is_propa

All materials in these videos are used for entertainment purposes and fall within the guidelines of fair use. No copyright infringement is intended. If you are or represent the copyright owner of materials used in this video and have a problem with the use of said material, please feel free to contact me via my email in the ""about"" page on my channel. I will happily fulfill your needs if there are any issues :)

Disclaimer: Only having a laugh here, don't take anything seriously, lifes too short  

Like and Subscribe for a giggle",3519,109394,954,I can already hear the excuses from Fury and his fans if he loses to Usyk...,1,1,76.0,i can already hear the excuse from fury and his fan if he loses to usyk,True,3,fury_usyk,neutral,negative
XR9B-OLxAy8,Fury vs Usyk - The ULTIMATE Breakdown,2023-10-08T08:10:33Z,PT11M27S,"#tysonfury  #furyusyk 

Here's the link to get your DOUBLE TERRIFIC Nord VPN offer: https://nordvpn.com/propa

Tyson Fury vs Oleksander Usyk is FINALLY on. This is the ultimate breakdown of the mega fight that will crown either Fury or Usyk undisputed. Usk beat Anthony Joshua, Fury beat Deontay Wilder, and now we get to see through the help of Frank Warren who is the best. Will Tyson Fury knock him out? will Usyk cruise to a points victory? Fury Usyk is the fight of fights.

https://www.instagram.com/this_is_propa

All materials in these videos are used for entertainment purposes and fall within the guidelines of fair use. No copyright infringement is intended. If you are or represent the copyright owner of materials used in this video and have a problem with the use of said material, please feel free to contact me via my email in the ""about"" page on my channel. I will happily fulfill your needs if there are any issues :)

Disclaimer: Only having a laugh here, don't take anything seriously, lifes too short  

Like and Subscribe for a giggle",3519,109394,954,"I know Usyk is Ukrainian, but I just want to say he fits the bill. That's the most ancient Slavic looking mf I've ever seen. Dude looks like he just walked out of a  Russian time machine from the early 1100s.",1,0,208.0,i know usyk is ukrainian but i just want to say he fit the bill thats the most ancient slavic looking mf ive ever seen dude look like he just walked out of a russian time machine from the early s,True,2,fury_usyk,neutral,neutral
XR9B-OLxAy8,Fury vs Usyk - The ULTIMATE Breakdown,2023-10-08T08:10:33Z,PT11M27S,"#tysonfury  #furyusyk 

Here's the link to get your DOUBLE TERRIFIC Nord VPN offer: https://nordvpn.com/propa

Tyson Fury vs Oleksander Usyk is FINALLY on. This is the ultimate breakdown of the mega fight that will crown either Fury or Usyk undisputed. Usk beat Anthony Joshua, Fury beat Deontay Wilder, and now we get to see through the help of Frank Warren who is the best. Will Tyson Fury knock him out? will Usyk cruise to a points victory? Fury Usyk is the fight of fights.

https://www.instagram.com/this_is_propa

All materials in these videos are used for entertainment purposes and fall within the guidelines of fair use. No copyright infringement is intended. If you are or represent the copyright owner of materials used in this video and have a problem with the use of said material, please feel free to contact me via my email in the ""about"" page on my channel. I will happily fulfill your needs if there are any issues :)

Disclaimer: Only having a laugh here, don't take anything seriously, lifes too short  

Like and Subscribe for a giggle",3519,109394,954,This is just a temporary bluff to take the heat off of Fury and up the number of PPV sales for the Ngannou fight. They will find some excuse to not fight Usyk afterwards.,1,0,170.0,this is just a temporary bluff to take the heat off of fury and up the number of ppv sale for the ngannou fight they will find some excuse to not fight usyk afterwards,True,2,fury_usyk,neutral,negative
XR9B-OLxAy8,Fury vs Usyk - The ULTIMATE Breakdown,2023-10-08T08:10:33Z,PT11M27S,"#tysonfury  #furyusyk 

Here's the link to get your DOUBLE TERRIFIC Nord VPN offer: https://nordvpn.com/propa

Tyson Fury vs Oleksander Usyk is FINALLY on. This is the ultimate breakdown of the mega fight that will crown either Fury or Usyk undisputed. Usk beat Anthony Joshua, Fury beat Deontay Wilder, and now we get to see through the help of Frank Warren who is the best. Will Tyson Fury knock him out? will Usyk cruise to a points victory? Fury Usyk is the fight of fights.

https://www.instagram.com/this_is_propa

All materials in these videos are used for entertainment purposes and fall within the guidelines of fair use. No copyright infringement is intended. If you are or represent the copyright owner of materials used in this video and have a problem with the use of said material, please feel free to contact me via my email in the ""about"" page on my channel. I will happily fulfill your needs if there are any issues :)

Disclaimer: Only having a laugh here, don't take anything seriously, lifes too short  

Like and Subscribe for a giggle",3519,109394,954,Im gointo go for usyk on points or late stoppage but i couod see fury spoilin the fight if hes got the balls to step in there in the first place,1,0,144.0,im gointo go for usyk on point or late stoppage but i couod see fury spoilin the fight if he got the ball to step in there in the first place,True,2,fury_usyk,positive,negative
XR9B-OLxAy8,Fury vs Usyk - The ULTIMATE Breakdown,2023-10-08T08:10:33Z,PT11M27S,"#tysonfury  #furyusyk 

Here's the link to get your DOUBLE TERRIFIC Nord VPN offer: https://nordvpn.com/propa

Tyson Fury vs Oleksander Usyk is FINALLY on. This is the ultimate breakdown of the mega fight that will crown either Fury or Usyk undisputed. Usk beat Anthony Joshua, Fury beat Deontay Wilder, and now we get to see through the help of Frank Warren who is the best. Will Tyson Fury knock him out? will Usyk cruise to a points victory? Fury Usyk is the fight of fights.

https://www.instagram.com/this_is_propa

All materials in these videos are used for entertainment purposes and fall within the guidelines of fair use. No copyright infringement is intended. If you are or represent the copyright owner of materials used in this video and have a problem with the use of said material, please feel free to contact me via my email in the ""about"" page on my channel. I will happily fulfill your needs if there are any issues :)

Disclaimer: Only having a laugh here, don't take anything seriously, lifes too short  

Like and Subscribe for a giggle",3519,109394,954,"Usyk gets tired in the clinch.
Joshua is the only one of the current big 4 that makes Usyk look good. Tyson and Wilder go through him.",1,1,134.0,usyk get tired in the clinch joshua is the only one of the current big that make usyk look good tyson and wilder go through him,True,3,fury_usyk,negative,positive
XR9B-OLxAy8,Fury vs Usyk - The ULTIMATE Breakdown,2023-10-08T08:10:33Z,PT11M27S,"#tysonfury  #furyusyk 

Here's the link to get your DOUBLE TERRIFIC Nord VPN offer: https://nordvpn.com/propa

Tyson Fury vs Oleksander Usyk is FINALLY on. This is the ultimate breakdown of the mega fight that will crown either Fury or Usyk undisputed. Usk beat Anthony Joshua, Fury beat Deontay Wilder, and now we get to see through the help of Frank Warren who is the best. Will Tyson Fury knock him out? will Usyk cruise to a points victory? Fury Usyk is the fight of fights.

https://www.instagram.com/this_is_propa

All materials in these videos are used for entertainment purposes and fall within the guidelines of fair use. No copyright infringement is intended. If you are or represent the copyright owner of materials used in this video and have a problem with the use of said material, please feel free to contact me via my email in the ""about"" page on my channel. I will happily fulfill your needs if there are any issues :)

Disclaimer: Only having a laugh here, don't take anything seriously, lifes too short  

Like and Subscribe for a giggle",3519,109394,954,Usyk feels him out for first 2 rounds then starts floating like a butterfly 🦋 stinging like a bee and the rest is history Tyson losses.,1,0,135.0,usyk feel him out for first round then start floating like a butterfly stinging like a bee and the rest is history tyson loss,True,2,fury_usyk,positive,negative
XR9B-OLxAy8,Fury vs Usyk - The ULTIMATE Breakdown,2023-10-08T08:10:33Z,PT11M27S,"#tysonfury  #furyusyk 

Here's the link to get your DOUBLE TERRIFIC Nord VPN offer: https://nordvpn.com/propa

Tyson Fury vs Oleksander Usyk is FINALLY on. This is the ultimate breakdown of the mega fight that will crown either Fury or Usyk undisputed. Usk beat Anthony Joshua, Fury beat Deontay Wilder, and now we get to see through the help of Frank Warren who is the best. Will Tyson Fury knock him out? will Usyk cruise to a points victory? Fury Usyk is the fight of fights.

https://www.instagram.com/this_is_propa

All materials in these videos are used for entertainment purposes and fall within the guidelines of fair use. No copyright infringement is intended. If you are or represent the copyright owner of materials used in this video and have a problem with the use of said material, please feel free to contact me via my email in the ""about"" page on my channel. I will happily fulfill your needs if there are any issues :)

Disclaimer: Only having a laugh here, don't take anything seriously, lifes too short  

Like and Subscribe for a giggle",3519,109394,954,If someone could explain to me how Fury can even hit Usyk never mind beat/KO him I'd be pleased to hear it. Usyk will win on points or via late stoppage having targeted Fury's flabby body. (should the fight occur of course),1,0,223.0,if someone could explain to me how fury can even hit usyk never mind beatko him id be pleased to hear it usyk will win on point or via late stoppage having targeted fury flabby body should the fight occur of course,True,2,fury_usyk,positive,negative
XR9B-OLxAy8,Fury vs Usyk - The ULTIMATE Breakdown,2023-10-08T08:10:33Z,PT11M27S,"#tysonfury  #furyusyk 

Here's the link to get your DOUBLE TERRIFIC Nord VPN offer: https://nordvpn.com/propa

Tyson Fury vs Oleksander Usyk is FINALLY on. This is the ultimate breakdown of the mega fight that will crown either Fury or Usyk undisputed. Usk beat Anthony Joshua, Fury beat Deontay Wilder, and now we get to see through the help of Frank Warren who is the best. Will Tyson Fury knock him out? will Usyk cruise to a points victory? Fury Usyk is the fight of fights.

https://www.instagram.com/this_is_propa

All materials in these videos are used for entertainment purposes and fall within the guidelines of fair use. No copyright infringement is intended. If you are or represent the copyright owner of materials used in this video and have a problem with the use of said material, please feel free to contact me via my email in the ""about"" page on my channel. I will happily fulfill your needs if there are any issues :)

Disclaimer: Only having a laugh here, don't take anything seriously, lifes too short  

Like and Subscribe for a giggle",3519,109394,954,I wonder if Usyk purposefully looked sluggish v Dubois to reel Fury in for the undisputed,1,1,89.0,i wonder if usyk purposefully looked sluggish v dubois to reel fury in for the undisputed,True,3,fury_usyk,neutral,neutral
XR9B-OLxAy8,Fury vs Usyk - The ULTIMATE Breakdown,2023-10-08T08:10:33Z,PT11M27S,"#tysonfury  #furyusyk 

Here's the link to get your DOUBLE TERRIFIC Nord VPN offer: https://nordvpn.com/propa

Tyson Fury vs Oleksander Usyk is FINALLY on. This is the ultimate breakdown of the mega fight that will crown either Fury or Usyk undisputed. Usk beat Anthony Joshua, Fury beat Deontay Wilder, and now we get to see through the help of Frank Warren who is the best. Will Tyson Fury knock him out? will Usyk cruise to a points victory? Fury Usyk is the fight of fights.

https://www.instagram.com/this_is_propa

All materials in these videos are used for entertainment purposes and fall within the guidelines of fair use. No copyright infringement is intended. If you are or represent the copyright owner of materials used in this video and have a problem with the use of said material, please feel free to contact me via my email in the ""about"" page on my channel. I will happily fulfill your needs if there are any issues :)

Disclaimer: Only having a laugh here, don't take anything seriously, lifes too short  

Like and Subscribe for a giggle",3519,109394,954,I'm a big Usyk fan but it's Fury here this time. He's just too much.,0,1,68.0,im a big usyk fan but it fury here this time he just too much,True,2,fury_usyk,neutral,positive
